Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
5/27/2018;188Bet;Autre Tipster;Football;Simple;Zbrojovka Brno U21 v Bohemians 1905 U21 over 1.5;1.9;300;570;270;Gagne
5/27/2018;188Bet;Autre Tipster;Football;Simple;TSV 1860 Munich v Saarbrucken over3.5;1.91;300;573;273;Gagne
5/27/2018;Asianodds;Autre Tipster;Football;Simple;Malmo FF -VS- Dalkurd FF over 2.5;2.03;270;-270;-270;Perdu
5/27/2018;188Bet;Autre Tipster;Football;Simple;AIK Solna U19 -0.75;1.78;270;480.6;210.6;Gagne
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;kamaz 0;1.625;300;487.5;187.5;Gagne
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;Chelyabinsk - Syzran-2003 Full Event Under 2.5;1.714;300;514.2;214.2;Gagne
5/27/2018;Asianodds;Autre Tipster;Football;Simple;molde -1;1.79;300;537;237;Gagne
5/27/2018;Asianodds;Autre Tipster;Football;Simple;debrecen -0.75 un peu sur pmu;2;300;-300;-300;Perdu
5/27/2018;Betway;Autre Tipster;Football;Simple;rakvere jk tarvas or draw;1.86;268;498.48;230.48;Gagne
5/27/2018;MarathonBet;Autre Tipster;Football;Simple;shrewsbury to lift the trophy. j'ai pris to play in championship sur mbet en esperant que c'est pareil;2.17;225;-225;-225;Perdu
5/27/2018;Asianodds;Autre Tipster;Football;Simple;Stromsgodset If - Sandefjord Full Event Over 3;2.16;225;-225;-225;Perdu
5/27/2018;Asianodds;Autre Tipster;Football;Simple;ranheim 0.75;1.8;300;-300;-300;Perdu
5/27/2018;Asianodds;Autre Tipster;Football;Simple;sriwijaya;2;225;-225;-225;Perdu
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;Ljungskile (un peu sur Live365);2.9;300;-300;-300;Perdu
5/27/2018;Asianodds;Autre Tipster;Football;Simple;Sundsvall - IFK Gothenburg Full Event Over 2.25;1.83;300;-150;-150;Moitie perdu
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;Chrobry Gloglow (un peu sur Bwin);2.9;283;-283;-283;Perdu
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;Katowice (un peu sur Live365);2.85;300;-300;-300;Perdu
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;Wigry Suwalki (un peu sur Live365);3.07;300;-300;-300;Perdu
5/27/2018;Pinnacle;Autre Tipster;Football;Simple;Rakow Czestochowa (un peu sur AsianOdds);2.81;300;-300;-300;Perdu
5/27/2018;188Bet;Autre Tipster;Football;Simple;Omiya;2.49;300;747;447;Gagne
